expand,mcc_without_mask,mcc_with_mask,mcc_without_t-mask,r2,adj_r2,pcc,me,rss,mse,rmse,rse,l1_loss,mae,r2-t,adj_r2-t,pcc-t,me-t,rss-t,mse-t,rmse-t,rse-t,l1_loss-t,mae-t
0,0.0,0.0,0.0,-0.08272634058448292,-0.0827348958986569,0.23920745639567292,0.18071572871700292,103250.9602310516,0.4079211434764894,0.6386870465857981,0.6386908315811011,46583.277406339155,0.18403997157947635,-3.4484244085843594,-3.4487644242083437,0.1295242137303637,1.7494803042799305,103246.88287161289,3.9453889285648245,1.9863003117768532,1.9864141757634055,45782.150082701504,1.7494803042799305
1,0.18120962101516064,0.16657588994020692,-0.07082728840423708,0.06028414847840957,0.06027672318169097,0.47580861288572385,0.15719997399086683,89613.19252800947,0.354041414092446,0.5950137931951208,0.5950173193734338,45595.860444566526,0.1801389109478558,-2.845583763277553,-2.845877700735573,0.2018303449236446,1.5990437379084887,89255.0934694752,3.410718539855371,1.8468130765877122,1.846918944516177,41859.29290618562,1.5995755629250494
2,0.3431546813437397,0.317991954551906,-0.0088595579901347,0.2814796720806385,0.2814739945914011,0.5835598588117124,0.1033078525634386,68519.5427712213,0.2707051844861873,0.520293363869065,0.5202964472382189,43268.57285956145,0.17094432514691524,-1.8428759824122083,-1.8430932778324034,0.29361150492073473,1.2721255930987192,65982.48202402158,2.5213986787428477,1.5878912679219719,1.587982293246242,34049.66360347256,1.301145003762947
3,0.4420297858079951,0.4105776649451812,0.03401496231234253,0.4342442511639937,0.43423978076552316,0.6740675456908165,0.050007405615333754,53951.60543708997,0.2131505656997411,0.4616823211903842,0.4616850572180312,43115.87028280209,0.1703410318740576,-1.0439787808667322,-1.0441350125246753,0.3983436673499127,0.9864536769781367,47440.26612500537,1.8128421462419417,1.3464182657116406,1.3464954486785823,27622.791567230655,1.055553959541085
4,0.47244039618053013,0.43874969402232167,0.06716812860918203,0.5016365095131359,0.5016325716240553,0.7115575483778905,0.016776667141277787,47524.9442154426,0.18776028372653775,0.43331314741943583,0.4333157153253242,43730.61494989132,0.1727697487303847,-0.6143568360175946,-0.6144802294927929,0.46419366307357585,0.8094544707237584,37468.84196562983,1.4318025895383786,1.1965795374894135,1.1966481310024675,24155.781500472483,0.9230685735210549
5,0.4817381757209232,0.44710845239066804,0.08630031140262165,0.5185611834745874,0.5185573793181939,0.7205811503989633,0.001965622706854995,45910.97328611847,0.18138385036887766,0.4258918294225397,0.42589435334811887,44473.465055709436,0.17570458114181078,-0.453292728853262,-0.4534038113824108,0.489278380761273,0.7299761622775188,33730.58197066926,1.288951888519594,1.1353201700487814,1.1353852518895324,22797.25971612639,0.8711551727664943
6,0.4882972889602238,0.4532192878984406,0.09773493917367065,0.5317440951611785,0.5317403951714124,0.7293580161859857,-0.0037727803352045203,44653.824328658484,0.17641713975330772,0.42002040397260193,0.4200228931028649,44861.3166753905,0.17723689498998677,-0.353068433113908,-0.35317185499215564,0.5089031001814152,0.6871260657144368,31404.399670454946,1.2000611284517921,1.0954730158483101,1.0955358134645645,21964.287423179405,0.8393246751186291
7,0.49292523203555144,0.45789453675179,0.10807397774875116,0.540404876210141,0.5404012446547521,0.735274210130875,-0.007194723198284459,43827.914838756515,0.17315415853962238,0.41611796228908743,0.4161204282926508,45179.25996085998,0.17849301685344598,-0.30502579450481915,-0.30512554424069793,0.5210720914771816,0.6659911044882684,30289.34134289464,1.1574512340133227,1.0758490758527994,1.0759107485334,21555.14854456263,0.8236901885651966
8,0.4942608815391187,0.45923141038695375,0.10729623994022804,0.5464919714508856,0.5464883879935343,0.7394629849823497,-0.005462468597375694,43247.43720090183,0.17086082294965463,0.4133531455664208,0.41335559518509213,45670.91964862515,0.18043545285196513,-0.2837267191575237,-0.28382484089712157,0.5325554668834076,0.6667524987301584,29794.994820244265,1.138560694724455,1.0670335958743076,1.067094763210531,21413.132477980314,0.8182633068890792
9,0.4922921724178019,0.45748723098449984,0.09838364312882887,0.5436721392743862,0.5436685335357352,0.7378866853658332,0.0017968054389441686,43516.34206540978,0.171923205125772,0.41463623228773916,0.4146386895102554,45649.72562278691,0.18035172005920988,-0.32656400024039134,-0.32666539625049906,0.529213420536522,0.6945669926933549,30789.238025538645,1.1765538624150196,1.084690675914115,1.0847528554364174,21783.963539629407,0.8324339309728842
10,0.4890956998917797,0.45420103852765875,0.09536307040143804,0.5375064125656266,0.5375027581076204,0.7336527082515129,0.004129464536245543,44104.31815811255,0.17424616541142385,0.41742803620675006,0.4174305099740902,46349.68956465087,0.18311711895640664,-0.3500474572144565,-0.3501506481842047,0.5249122220260212,0.7051270762207825,31334.28353130077,1.1973817697008204,1.0942494092759751,1.0943121367494009,22005.21736714472,0.8408887373283167
11,0.4882380994075694,0.4533511575844435,0.09266245374145735,0.5451408687566114,0.5451372746233325,0.7388922666654725,0.005095051869609303,43376.281069685865,0.17136985587454662,0.41396842376508214,0.41397087703002294,46031.265944489336,0.1818590993994403,-0.31948885416864115,-0.31958970938947484,0.5377819228782592,0.697735006853117,30625.025551486167,1.1702787860249213,1.0817942438490424,1.0818562573343666,21857.61863536517,0.8352485244130524
12,0.4919702604669129,0.4570776821986894,0.09767495734894242,0.546905610635462,0.5469020304465387,0.7397371807788732,-0.0007691561701871293,43207.991736802454,0.1707049828607647,0.4131645953621446,0.41316704386342734,46460.65036055246,0.18355549991329026,-0.2845711528217465,-0.28466933910568915,0.5360995379696183,0.6733672254177886,29814.593926717364,1.1393096383781331,1.067384484793616,1.067445672244427,21445.978331436298,0.8195184505115326
13,0.4904073713378363,0.4556545217737707,0.1028735164920876,0.5438280784280096,0.5438244739215337,0.737510955816372,0.00361406016959199,43501.47139426644,0.17186445447431578,0.4145653802168191,0.4145678370194508,46798.04469772233,0.18488846847370694,-0.2924485722592358,-0.2925473606542719,0.5376781104452365,0.674711026518705,29997.426976644987,1.1462962656824864,1.0706522617930092,1.0707136365680199,21535.77380977987,0.822949818861243
14,0.4929956208490384,0.4589033256323708,0.1042304121750392,0.5490526671979281,0.5490491039742738,0.7411267612915627,0.0016310353709116563,43003.24410719975,0.16989607137941154,0.4121845113288605,0.41218695402195676,46387.303030113726,0.18326572123388074,-0.27953088417855976,-0.2796286852092238,0.5429667235659111,0.6730991647391701,29697.61047854656,1.1348393319785457,1.0652883797256711,1.0653494470179754,21449.311321195975,0.8196458145590575
15,0.49262771927717686,0.45906517580639317,0.10157923713374435,0.5479982265996867,0.5479946550442218,0.7403628289713422,0.0008920417995132299,43103.79768218232,0.17029333576509617,0.41266613110975825,0.41266857665703577,47104.724330423436,0.1861000901978288,-0.26827265319203497,-0.26836959369904334,0.548775827337877,0.6723055926134847,29436.30958878336,1.1248542011075455,1.0605914392958042,1.0606522373376035,21402.114104077125,0.8178422600816663
16,0.48728659340814734,0.45483807193515335,0.09047895783537095,0.5404189279702782,0.5404152965259214,0.7355089872535854,0.00814422518478318,43826.57483466308,0.1731488644871425,0.41611160100043176,0.41611406696629677,47336.3870639061,0.1870153371546771,-0.3163484546365476,-0.3164490698207285,0.5434192881480325,0.7011647370191574,30552.137617943907,1.167493508271004,1.080506135230617,1.0805680748755546,21833.047357709605,0.8343095784213995
17,0.4849929332300729,0.45322348184254085,0.09634412457252485,0.5399782119405552,0.5399745770138187,0.734947749270678,-0.00015809212200524838,43868.60240114371,0.17331490587734316,0.41631106864620254,0.41631353579415525,48305.289385353804,0.19084325063846,-0.28781075021285374,-0.2879091841156447,0.5449903090668378,0.6849468322235284,29889.784219205063,1.1421828965266179,1.0687295712791978,1.0687908358366318,21557.81696860725,0.8237921574613952
