kernel_size,mcc_without_mask,mcc_with_mask,mcc_without_t-mask,r2,adj_r2,pcc,me,rss,mse,rmse,rse,l1_loss,mae,r2-t,adj_r2-t,pcc-t,me-t,rss-t,mse-t,rmse-t,rse-t,l1_loss-t,mae-t
21,0.3341628675525537,0.25512345193465324,0.24245510163235334,-0.30793812924481734,-0.30794846410155463,0.5726940589654018,-0.4164518021809852,124727.60909691355,0.4927705157612688,0.7019761504219846,0.7019803104819802,128272.96838364418,0.50677742679669,0.3074560507330786,0.3074031160889398,0.5907191432097445,0.17617293596891545,16073.781960962137,0.6142298888364911,0.7837281983165408,0.7837731252676693,15548.601511105015,0.5941610879706911
23,0.32624958251908365,0.243744138418718,0.24214354346663422,-0.3908198043741429,-0.3908307941320712,0.5689266897482694,-0.4460426017716148,132631.3722380619,0.5239964926537815,0.7238760202229256,0.7238803100662083,134403.82635260583,0.5309990571582317,0.32481906051999077,0.3247674530186929,0.5937491657130455,0.14239635450434307,15670.790592982792,0.5988303180474146,0.7738412744532399,0.7738856346398368,15406.861846073973,0.5887447684693329
25,0.328996794465121,0.24790563655925704,0.2484186718461166,-0.36330928519514716,-0.3633200575748463,0.5697906795949073,-0.4404815718388422,130007.9138301347,0.51363180305448,0.7166811027608304,0.7166853499655017,133840.12153189664,0.5287719871674798,0.32782847507073964,0.3277770975942489,0.6018803329719731,0.16577333524175777,15600.942790009398,0.5961612132679658,0.7721147669018938,0.7721590281170353,15289.81103487168,0.5842718879159189
27,0.32636059414044016,0.24397641047596755,0.2417735948671991,-0.37209268121266614,-0.372103522995602,0.5712667033202765,-0.4368445789676175,130845.51612990772,0.5169409799099528,0.7189860776885411,0.7189903385529841,132607.3978275232,0.5239017751912104,0.32353485874838683,0.32348315308903874,0.5921501055694561,0.13740779534478637,15700.596613658356,0.599969300074835,0.7745768522715063,0.7746212546248502,15481.298808237187,0.5915892394908933
29,0.33628430706978785,0.2575305896951969,0.24662341788268524,-0.30173082904710746,-0.30174111485599076,0.5817775360348243,-0.4160489554399472,124135.66847273672,0.490431892510269,0.7003084267023131,0.700312576879023,127149.46126948563,0.502338704815936,0.3277305230257075,0.32767913806224536,0.5939314013241678,0.13641138766403565,15603.216233905794,0.5962480887273413,0.7721710229782915,0.7722152874182935,15381.18433061421,0.58776354964325
31,0.3236712498916612,0.24056774450340837,0.24705135535494227,-0.3808555542025096,-0.38086646522651657,0.5777924496700091,-0.4579706401222268,131681.16131251075,0.5202424246390406,0.7212783267498342,0.7212826011986327,136789.8040329825,0.5404255142246903,0.33250692325627995,0.33245590337729625,0.6009492703489993,0.14632659571735906,15492.357109447568,0.5920118120466036,0.769423038416841,0.7694671453295671,15302.984773483859,0.5847752980046566
33,0.32474971998223,0.24183414360043412,0.2408062312717933,-0.39563194327929807,-0.3956429710610174,0.5707441505307081,-0.4509896715800048,133090.2674769561,0.5258094837404188,0.7251272190039613,0.725131516262114,135681.5096691643,0.5360468943727725,0.33645757502797047,0.3364068571173251,0.60180331751029,0.1402844498413248,15400.663412247426,0.5885079067693617,0.7671426899667113,0.7671866661592417,15279.652241231717,0.5838836883805922
35,0.3367205819875545,0.2585319477810473,0.24129985755849642,-0.2980021906119974,-0.2980124469585208,0.5704555065945998,-0.402609380912468,123780.09801661072,0.48902711422322154,0.6993047363083004,0.6993088805369276,126065.54806011813,0.49805640937960266,0.2948502013359301,0.29479630316283034,0.5775413689525069,0.16638913719724271,16366.360756657214,0.6254102471113613,0.7908288355335568,0.790874169526287,15683.145714755412,0.5993024462056408
37,0.3139678429748146,0.22652384727008906,0.24816297600833975,-0.46654290374481433,-0.4665544918394422,0.5664383570789132,-0.4837301824630682,139852.47920538095,0.5525254497180371,0.743320556501727,0.743324961577468,144015.3619798915,0.568972056100553,0.33597311151623677,0.3359223565755899,0.6004818780287757,0.1396652718336863,15411.907696258406,0.5889375863142805,0.7674226907736573,0.7674666830171383,15303.462688218373,0.584793560633512
39,0.3150401818481571,0.22820759695129672,0.24453634583230605,-0.4445303969273995,-0.44454181108711466,0.5744759139445175,-0.48529407725846074,137753.3223078337,0.5442321565605899,0.7377209205116728,0.7377252924027797,143536.430240292,0.5670799053406238,0.3324698130195375,0.3324187903040303,0.5989528808876803,0.1404029168038804,15493.218429302538,0.5920447257939753,0.7694444267092817,0.7694885348480843,15333.896898709758,0.5859565477744567
41,0.3213143028422449,0.23702218795839156,0.24237325273170693,-0.40749990084545007,-0.4075110224035021,0.5718704618082574,-0.4623900809223428,134222.01976629614,0.5302807805396604,0.7282038042606345,0.728208119751286,138421.88344975802,0.5468734901122336,0.3227198670548337,0.3226680991015397,0.5923923868046719,0.14335395778638185,15719.512378926647,0.6006921311065248,0.7750433091811868,0.7750877382740137,15461.725808671987,0.5908412934644803
43,0.3206887580104824,0.2361271652148664,0.2447000020659915,-0.4275524358284466,-0.427563715834419,0.5684430545327448,-0.4696893251337572,136134.2698099677,0.5378356470772878,0.733372788612509,0.7333771347356614,140859.90820614714,0.5565055733802704,0.32840568451665086,0.32835435115920353,0.5959251155353832,0.14617411296388524,15587.545894708743,0.5956492756585556,0.7717831791757033,0.7718274213826917,15361.267436932147,0.5870024623383449
45,0.30279139141589756,0.21017642144973908,0.24945964265872125,-0.588102067811547,-0.5881146164229742,0.5551929266257851,-0.5299815887880446,151444.60543738608,0.5983233132662469,0.7735136154368887,0.7735181994431197,154628.92537565716,0.6109038396604592,0.34471242518087375,0.3446623382302646,0.606606069880626,0.1432439716845322,15209.070284304296,0.5811865292637968,0.7623559072138136,0.7623996090056586,15151.479948433913,0.5789858209497464
47,0.3403998665348826,0.26359307347123473,0.2450845450807427,-0.27835219058203897,-0.27836229166132864,0.5602150369457606,-0.35786006509716045,121906.2345152062,0.48162390421431445,0.693991285402284,0.693995398142271,125803.9298796743,0.49702281524079683,0.2816377609442341,0.2815828528773491,0.5762186336170406,0.17984165873116104,16673.018386477375,0.6371286020282538,0.798203358817948,0.7982491155527053,15683.097943477826,0.5993006207145029
49,0.3349872606285434,0.256183680306346,0.2522783398076741,-0.3594714494510034,-0.35948219150550464,0.5428326275751669,-0.3448451007166112,129641.93009912485,0.5121858842783906,0.7156716316009673,0.7156758728232977,137996.9373399554,0.5451946243405384,0.3248354275251478,0.32478382127486316,0.598888372686061,0.1608720037848125,15670.410718647718,0.5988158018513401,0.7738318950853216,0.7738762547342494,15343.441711345413,0.5863212851597468
51,0.31042581131572666,0.22142152618168098,0.26034422700260695,-0.5091732517384919,-0.5091851766827991,0.5673556293728012,-0.5068155915013574,143917.79488150615,0.5685865906070606,0.7540468092943969,0.7540512779361938,148731.45872737234,0.5876042855120097,0.3459317734487871,0.34588177969914624,0.606627483655526,0.13675070287323485,15180.769498175692,0.5801050669943709,0.7616462873239591,0.7616899484370865,15072.20741928927,0.5759565676674413
53,0.3024796286451537,0.20969291505116905,0.2636609319015014,-0.5682361322420628,-0.5682485238800117,0.5673488549991822,-0.5301324959932625,149550.14988887915,0.5908387487461397,0.7686603598118871,0.7686649150566929,154013.931269113,0.6084741373253778,0.3622332169699406,0.36218446922225045,0.6164550542527121,0.12412980763067365,14802.416833214424,0.5656470187326388,0.7520950862308826,0.7521381998246713,14942.058495474357,0.5709831669331789
55,0.291112422617467,0.19278841571952937,0.24505364999062668,-0.6479197486768307,-0.6479327699460606,0.5579144382758505,-0.5623848606150358,157148.9397244837,0.6208598452264137,0.7879466004916917,0.7879512700308625,162613.63042642415,0.6424495996935153,0.31670761916820733,0.3166553916683349,0.5877844040461936,0.1521103053691421,15859.055236426258,0.6060245036656448,0.7784757566332074,0.7785203824899114,15395.003857742788,0.5882916373473495
57,0.3308602004461095,0.25054921782822476,0.24196406459605682,-0.3279681776914414,-0.32797867081841825,0.5661261144391467,-0.4040594846425605,126637.71477926873,0.5003169104133249,0.7073308351919383,0.7073350269849348,131047.06587409106,0.5177372572707705,0.29642309386595156,0.296369315917,0.5817712198555682,0.16103309901273963,16329.8542914685,0.6240152199728114,0.789946339932537,0.7899916233365085,15662.1777659922,0.5985011947721427
59,0.29781688686290614,0.2022640066480707,0.24763324184707042,-0.672540130040189,-0.6725533458508184,0.5545508293585798,-0.5578273509500278,159496.78878082256,0.6301356647406221,0.7938108494727331,0.7938155537646908,160363.70026636583,0.6335606355465533,0.3483668662021361,0.34831705857897644,0.6024615034570594,0.1123452145131802,15124.25156886099,0.5779453387160759,0.7602271625745004,0.7602707423367865,15129.251275899758,0.5781363932859398
61,0.27841253866473803,0.17211277330904862,0.2446096564905803,-0.7995954046858502,-0.7996096244415685,0.5489927953613274,-0.6067617223065622,171613.03516539652,0.6780042082270767,0.8234101093787207,0.823414989082189,173640.11341339027,0.6860127349757631,0.33340524270217353,0.333354291486298,0.5944542256494905,0.1280817606579077,15471.50732667229,0.5912150761080779,0.7689051151527592,0.7689491923757111,15296.117219318061,0.584512867106808
63,0.3061292273219277,0.21519827016250645,0.2584458129692451,-0.5278714294576357,-0.5278835021482189,0.5890929235513689,-0.5412890380248216,145700.89069409005,0.5756311980486737,0.758703629916632,0.7587081261557385,155909.45944521742,0.6159629395540265,0.37073018720910444,0.37068208892791576,0.6240562717130909,0.1284548641887948,14605.20415509097,0.558110900496426,0.7470682033766569,0.747111028806104,14923.998729113244,0.5702930463186688
65,0.26981754794931095,0.15692459962709898,0.2604174193186138,-0.9397937776059266,-0.9398091051587698,0.5538683904516453,-0.6601216966620564,184982.63382041323,0.7308244624791626,0.8548827185521781,0.8548877847690235,185529.59442818497,0.732985379879442,0.35927077062721624,0.3592217964447373,0.6119286021307699,0.11563044451225434,14871.174515141112,0.568274466549777,0.7538398149141348,0.7538830285238991,14954.729153776289,0.5714673527370663
67,0.2848692920881512,0.18232873693071475,0.2627426043087247,-0.764537902654175,-0.7645518453981197,0.5641545148326673,-0.6050015751478136,168269.88130241874,0.6647961649938515,0.8153503326753792,0.8153551646148964,171358.5279296443,0.6769987078191506,0.37412448319305425,0.37407664435511134,0.6225277203157343,0.10893546195392574,14526.423344696475,0.5551004373379371,0.7450506273656423,0.7450933371382341,14822.16496522401,0.5664016571219386
69,0.2957533768041635,0.19936332876646043,0.24890604889441365,-0.6363710928861712,-0.6363840229020763,0.569961753493413,-0.5635968949626067,156047.63669427964,0.6165088465491166,0.7851807731657192,0.7851854263140089,161512.60880016498,0.6380997127794282,0.35179308248766217,0.35174353674757863,0.6068137920215655,0.11913165063392708,15044.72989578442,0.5749065648585892,0.7582259325943614,0.7582693976368228,15125.748366075866,0.5780025360570089
71,0.29434206872232055,0.1971837878530781,0.25613954997009236,-0.6492647501268098,-0.6492777820237576,0.5583435902881695,-0.5503781328024171,157277.20176633922,0.6213665794849741,0.7882680885872357,0.7882727600316133,160256.77763372898,0.6331382084575351,0.35781782245596827,0.3577687372172964,0.6112012079898571,0.11378269913209123,14904.897100010867,0.569563112843856,0.7546940524768007,0.7547373150554413,15072.65866270061,0.5759738111009443
73,0.29999557773962,0.20682612327599778,0.24272159214433253,-0.5059409675379074,-0.5059528669418671,0.5669265707509781,-0.5100730210021519,143609.55776290735,0.5673688156091395,0.7532388834952293,0.7532433473490858,151903.69959678734,0.600137090242725,0.32103682798365396,0.32098493138715345,0.5944087747285007,0.1572584696634439,15758.57531939493,0.6021848492259899,0.7760057017999223,0.776050186061577,15421.049891928182,0.5892869384358662
