mag_d,depth_d,cross_d,mcc_without_mask,mcc_with_mask,mcc_without_t-mask,r2,adj_r2,pcc,me,rss,mse,rmse,rse,l1_loss,mae,r2-t,adj_r2-t,pcc-t,me-t,rss-t,mse-t,rmse-t,rse-t,l1_loss-t,mae-t
11,11,0,0.41465908805136553,0.3571365880274568,0.38181949061027665,0.15738937766883765,0.15731280424539063,0.7130060983527973,-0.31382672299543796,80353.04268077872,0.3174566607304139,0.5634329247837881,0.5634596386330286,99721.22445290136,0.393975957382618,0.5572160295900986,0.5568265084074853,0.7524474084140902,0.0681482654419176,10276.911672842887,0.39271319778527597,0.6266683315640547,0.6269558930483016,12233.207251189368,0.4674694199697874
12,12,0,0.4103133065610391,0.35186694122785284,0.39410920236793484,0.13478534759613736,0.13469988214204776,0.7260533868241257,-0.34996375295173615,82508.60842496871,0.3259728124566648,0.5709402879957455,0.5709696137788939,102361.05262577001,0.4044053202132233,0.5814327049603609,0.5810324378764,0.7669014552828457,0.05515126114921626,9714.848340785591,0.37123498570008756,0.6092905593393743,0.6095934629421466,11965.94001649826,0.4572562962474019
13,13,0,0.4103586949697683,0.351787106199605,0.3975951216911113,0.13006813903283398,0.1299753323685402,0.7262307290106401,-0.35006575927989303,82958.45091564737,0.32775003818678217,0.5724945748099122,0.5725262425857325,102276.3781056643,0.4040707903745898,0.5827990961958385,0.5823681859627674,0.7667585772744583,0.04057963953746595,9683.134722009907,0.37002310833466723,0.6082952476673373,0.6086209373597614,11946.982741571032,0.4565318790007655
14,14,0,0.4178317044254999,0.36098702665513305,0.3975777641308887,0.1620917922430657,0.16199577968592105,0.7299071174270884,-0.341678969355368,79904.61097463443,0.3156850086902571,0.5618585308511895,0.5618918304470691,100615.14995031116,0.3975076544270832,0.5882048599384897,0.5877479924584107,0.7717271675527179,0.06846781353599228,9557.668218658326,0.3652286376498271,0.6043414909220011,0.6046881959536304,11846.770569659184,0.45270245594631753
15,15,0,0.41883492088861296,0.36227421126372406,0.3948874408337152,0.17426858200273054,0.17416743860725192,0.7262305136334943,-0.3259501358619678,78743.40782653385,0.3110973582226808,0.5577610225021831,0.5577962832438489,97615.9271323074,0.3856584048053549,0.5783136661820516,0.5778135216991975,0.7665473920630806,0.06917129399297507,9787.240496263148,0.3740013182109805,0.611556471808598,0.6119307270950692,11977.117101432224,0.4576834079037114
16,16,0,0.4191366570981119,0.3627285870250555,0.38713609554656836,0.17896884562215154,0.1788617888770997,0.7293386552039532,-0.33190104980341106,78295.18123976765,0.3093265165626994,0.5561713014554952,0.5562086594341369,98733.30705243933,0.39007291963115315,0.5699870289235249,0.5694440624783165,0.762599877556288,0.08101321292834007,9980.499786021186,0.38138636501284673,0.6175648670486743,0.6179664431134422,12053.085360185076,0.46058639459608985
17,17,0,0.4169604591444628,0.3598739862677652,0.3869966838765787,0.16544797111146403,0.16533255528869295,0.7236435600475194,-0.32652550565883404,79584.55901147351,0.31442055591914153,0.5607321605892973,0.5607720407057128,97622.96259118353,0.3856862003088854,0.5717673586095657,0.5711938254350866,0.7614289971343954,0.061802113114914896,9939.178753294957,0.3798073580685145,0.616285127249161,0.6167094686769339,12102.477408455761,0.46247382049202346
18,18,0,0.41047070964682253,0.35211561441078104,0.3913744099838815,0.1378916044959877,0.13776556376279714,0.720813797602474,-0.3414939749991544,82212.38952310018,0.32480251870928306,0.5699144836809142,0.5699572689547443,101260.54521536765,0.4000574648494465,0.5749213183425987,0.5743194312651305,0.7632047971218641,0.06419540235417587,9865.97609068248,0.37701005352449385,0.6140114441315356,0.6144577331841073,12047.16566384417,0.4603601843342951
19,19,0,0.41717517547332283,0.36021738595749525,0.3898681763784022,0.1613650003752073,0.1612357629357709,0.7300267540916104,-0.34052230290015834,79973.9193080822,0.3159588302079379,0.5621021528227212,0.5621465728518578,100096.66701758,0.3954592458668194,0.581037828646211,0.5804124880406465,0.7675962272740019,0.06279135496789333,9724.01332703944,0.3715852087217486,0.6095778938919526,0.6100443065191193,11960.16356536839,0.4570355598367683
20,20,0,0.4195709303518615,0.36313419381933953,0.3934457544662031,0.1769999848494903,0.17686665177713112,0.7253978570174614,-0.32257752138897394,78482.93576066285,0.3100682921228013,0.5568377610424793,0.5568839655283585,97083.53955232348,0.38355506213509066,0.581947466188272,0.5812914339654266,0.7685709934456768,0.06985108588696406,9702.900853917698,0.3707784345568305,0.608915786095935,0.6094050155008435,11950.885713546584,0.45668102386589415
