mag_d,depth_d,cross_d,mcc_without_mask,mcc_with_mask,mcc_without_t-mask,r2,adj_r2,pcc,me,rss,mse,rmse,rse,l1_loss,mae,r2-t,adj_r2-t,pcc-t,me-t,rss-t,mse-t,rmse-t,rse-t,l1_loss-t,mae-t
14,14,0,0.4178317044254999,0.36098702665513305,0.3975777641308887,0.1620917922430657,0.16199577968592105,0.7299071174270884,-0.341678969355368,79904.61097463443,0.3156850086902571,0.5618585308511895,0.5618918304470691,100615.14995031116,0.3975076544270832,0.5882048599384897,0.5877479924584107,0.7717271675527179,0.06846781353599228,9557.668218658326,0.3652286376498271,0.6043414909220011,0.6046881959536304,11846.770569659184,0.45270245594631753
14,14,2,0.4182248946924652,0.3616141644238323,0.3869866289146996,0.1746617347203262,0.17456390100520236,0.7240768676213748,-0.3259636991501784,78705.91599310654,0.3109492364858129,0.5576282242550255,0.5576623748643758,99348.61972407665,0.3925038805447194,0.5715349331423755,0.5710431605505273,0.7635683235219963,0.08367490036772636,9944.573293649735,0.3800135004642797,0.6164523505221468,0.6168178023555181,12099.90395832631,0.4623754808485731
14,14,4,0.41643467307343446,0.3594376407212948,0.3890059594050356,0.16646245321249142,0.16636035364851276,0.724673102466511,-0.3326237649837777,79487.81595910538,0.31403834604470454,0.5603912437259388,0.5604266707458982,99412.76263705984,0.39275729465681547,0.5790051672837901,0.5785058429614042,0.7675813805761257,0.08207422314332902,9771.190918547665,0.37338801324267895,0.6110548365267057,0.6114287848265538,11959.949369399654,0.45702737473345
14,14,6,0.4088436052852812,0.35026555814348137,0.38472573456265097,0.1391167720255092,0.1390079208891376,0.7269524555600783,-0.353153866766623,82095.55508476975,0.32434093232234257,0.5695093786078879,0.5695465072794073,103551.47870080013,0.4091084238421276,0.5735967008669961,0.573074627651039,0.7628850265681107,0.07076867515028089,9896.72015032963,0.3781848809786247,0.6149673820444664,0.6153554965558335,12078.335689661804,0.4615512892988576
14,14,8,0.4103726237852457,0.3521628298160388,0.37448858939393487,0.14325077380576934,0.14313905967288543,0.720379224551629,-0.3451758973861922,81701.32836522945,0.32278343189945063,0.568140327647537,0.5681784895846418,102307.61544458143,0.4041942020211423,0.5535949703124511,0.5530313060316135,0.7509765506228357,0.08603710916577713,10360.955605878738,0.3959247814543444,0.6292255410060406,0.6296346995092051,12303.160578699775,0.47014255717451087
14,14,10,0.4145317532932118,0.35741733685546145,0.3673044473615574,0.18794764226213123,0.18783854719273385,0.7235031858356318,-0.32068094883329146,77438.94514386065,0.30594372180179225,0.5531217965347164,0.5531600425312332,96959.97309645446,0.3830668790725736,0.5585759740232945,0.5580016870070241,0.7574227234146489,0.10098486324273075,10245.347682829839,0.39150703820665056,0.625705232682811,0.6261240808452342,12325.649986881092,0.4710019483694865
14,14,12,0.41232048874785054,0.35444063084165445,0.3833173304922946,0.15511044995281575,0.15499360448459576,0.7216596533179973,-0.33076037818793974,80570.3658086582,0.31831525515539655,0.5641943416548916,0.5642344680068428,99234.66386765253,0.3920536667825002,0.563553588991885,0.5629690550927811,0.7570760645322216,0.06451500766567185,10129.818411690609,0.38709230049641213,0.6221674215968015,0.6225958132621539,12189.53073841613,0.4658004027061076
14,14,14,0.40957487192334235,0.35097142879113136,0.397574666678307,0.13109001752794724,0.13096641626916927,0.7280488141683134,-0.35499439810241473,82861.00252827213,0.32736504169358643,0.5721582313430319,0.5722000545770904,103426.29818676948,0.40861386400161775,0.5872552017089949,0.5866865956804292,0.7704491180225036,0.05357281112386253,9579.709562510176,0.36607090689404165,0.6050379383923306,0.6054661200309759,11890.163687217459,0.45436064378529784
14,14,16,0.4183146635757494,0.3617710566142855,0.39538284605655216,0.17189995497816368,0.17177888628497617,0.7317843994828954,-0.3422489234294902,78969.28486078659,0.31198974719312006,0.5585604239409735,0.5586023568298073,101270.79295682703,0.4000979513534442,0.5787482589698771,0.5781517906212448,0.7681154050445871,0.08686953599428149,9777.153700008843,0.3736158699227652,0.611241253452976,0.6116855290157582,11946.156626515578,0.45650031053978285
14,14,18,0.4206267034250933,0.36424202080679363,0.3939146383713825,0.17122871688831076,0.17110427478886936,0.7288602097011819,-0.33025709062078373,79033.29547429283,0.31224263861996654,0.5587867559453844,0.558829809897482,97732.60733686361,0.3861193818496083,0.5720191842132205,0.5713967857823021,0.7618277575835088,0.05615799345959103,9933.333940341765,0.37958400933706926,0.6161038949211969,0.6165635025158295,12033.16629672353,0.4598252243770694
14,14,20,0.4114470863777007,0.35336843467368545,0.3878373728940934,0.14288024221745776,0.14274815619334036,0.7269301693933129,-0.3509401936504998,81736.66300229647,0.3229230310423976,0.5682631705841912,0.5683080774867316,102970.05486300348,0.40681135003063223,0.5585298509225838,0.557870915034719,0.7528067834866405,0.06588652774250535,10246.418189134769,0.3915479456278333,0.625737920880486,0.6262166981959367,12234.5617679374,0.46752118032547674
