expand,mcc_without_mask,mcc_with_mask,mcc_without_t-mask,r2,adj_r2,pcc,me,rss,mse,rmse,rse,l1_loss,mae,r2-t,adj_r2-t,pcc-t,me-t,rss-t,mse-t,rmse-t,rse-t,l1_loss-t,mae-t
16,0.2906168364921381,0.19075480149251986,0.24589971860334905,-0.9033251602917873,-0.903340199682731,0.49558213422777825,-0.5462019266636883,181504.91316761076,0.7170847763570344,0.8468085830676461,0.846813601435447,170658.90340063855,0.6742346498652334,0.3054198097269759,0.3053667194426165,0.5791456944716433,0.10798293729573358,16121.04263515719,0.6160358682088422,0.7848795246461983,0.7849245175967151,15647.843334731291,0.597953430957671
17,0.28819932309953133,0.18685936904875772,0.24080619683891674,-0.9822534143487223,-0.9822690774023455,0.5011571325510863,-0.5597533293564743,189031.67012850638,0.7468212872745842,0.8641882244479985,0.8641933458112514,174311.2274809289,0.6886641545579238,0.3140466972192201,0.31399426633159644,0.5799918739888779,0.042442468950669575,15920.814608186662,0.6083845239858864,0.7799900794150438,0.7800347920797838,15714.335836971393,0.6004943191169473
18,0.2895339165486669,0.18956635160758192,0.2482441508625374,-0.9264804622268585,-0.9264956845826713,0.4899524786521203,-0.5380499999678867,183713.04930471448,0.7258086217913379,0.8519440250341204,0.8519490738356429,172674.75922602994,0.6821988393656241,0.30564401514441886,0.30559094199721604,0.5804151905412395,0.10388759801296174,16115.838880221168,0.6158370163254678,0.7847528377301147,0.7847978234183475,15607.864480179163,0.596425712873215
19,0.2800830017414813,0.1742464272941765,0.25547556667319526,-1.1126583086883537,-1.112675002154556,0.4911042386300672,-0.592639427717685,201467.3429801811,0.7959518123389807,0.8921613151997685,0.8921666023375078,183808.02870313704,0.7261838638687436,0.33077891552250194,0.33072776356312894,0.5890950644790404,0.028242106541975554,15532.463761984185,0.5935444136949897,0.7704183368112351,0.7704625007791014,15491.059862510283,0.5919622401509528
20,0.28107241483710443,0.17688306197916395,0.2434057838609733,-1.088577565711525,-1.0885940689003561,0.470996073482561,-0.5715106361217054,199170.95492509918,0.7868793035778171,0.8870621757113856,0.8870674326305396,181787.08750599736,0.7181995832171043,0.2901530592312648,0.29009880203178695,0.5680165670534988,0.09425046158669496,16475.380318679418,0.6295762283113385,0.7934583973412459,0.7935038820727082,15813.35542697547,0.6042781698565276
21,0.2773951909526213,0.1710931866907845,0.2518070434886789,-1.1885164816535703,-1.188533774523775,0.4736449125583081,-0.593399407126596,208701.33083698942,0.8245316588783337,0.9080372563272576,0.9080426375492011,187402.44629272615,0.7403845931403755,0.29184211978817987,0.2917879916921612,0.5647403517735533,0.03885696624149685,16436.17762094515,0.62807816962609,0.7925138292964293,0.7925592598808513,15787.28195481011,0.6032818202762853
22,0.2715279271935282,0.16248337916991543,0.22098710485285183,-1.2835577751238594,-1.2835758189761868,0.4482424510196961,-0.6052450712760958,217764.6596252314,0.8603388168430611,0.9275445093595569,0.9275500061856315,191723.92139000678,0.7574577618474084,0.2631931731631003,0.26313685528288655,0.546177284672511,0.07992942558046325,17101.11292497931,0.6534874441124731,0.8083857025655965,0.8084320429997294,16160.309005825187,0.6175363600376471
23,0.2792170092450443,0.17801887413197157,0.210454551803038,-0.9835176299657347,-0.9835333030087352,0.4457047204361615,-0.5307739401333783,189152.22827094918,0.7472975851725469,0.8644637558466791,0.8644688788427897,176884.36461786705,0.6988300362201649,0.21734447198227713,0.21728464965345218,0.544542550518104,0.21395211793248728,18165.25048152573,0.6941514953389786,0.8331575453292004,0.8332053058007538,16478.97891333916,0.6297137419595384
24,0.27212966453879367,0.16655059284474794,0.2255037580276637,-1.2415399879518074,-1.2415576997946909,0.44597126151058203,-0.5868318280330007,213757.75898036786,0.8445084605035966,0.9189714144104791,0.9189768604305695,188979.5722600888,0.7466154604037248,0.2585351478501644,0.25847847393346723,0.5532623006092284,0.10672986598212293,17209.224595477557,0.6576187319147677,0.8109369469414793,0.8109834336248241,16113.112086023806,0.6157328169216938
25,0.26535434302871136,0.15454952746700854,0.2271039595928515,-1.460760603793997,-1.460780047839351,0.4295875812260016,-0.6397194621362732,234663.07756339508,0.9271006363249712,0.9628606525998303,0.9628663587168826,198530.55159839828,0.7843492151725432,0.2678936151975929,0.26783765659598757,0.5540251994760915,0.08594224471852555,16992.016772363102,0.6493185361444114,0.8058030380585639,0.8058492304423365,16120.544968586468,0.6160168508000484
26,0.25645274326640655,0.14394976155948366,0.1644728550131418,-1.4452811662413816,-1.4453004879737867,0.38810483698869885,-0.6045667973417445,233186.92728308708,0.9212687011164374,0.9598274329880541,0.9598331211296017,196635.01393225556,0.776860375450904,0.10893929627467536,0.10887118798882922,0.48064947300672184,0.2008502239082749,20681.309079118364,0.7902980274033538,0.8889870794355528,0.8890380403160689,17816.44103772805,0.680822386706716
27,0.2741378171166865,0.1737858869944431,0.22201115624825188,-1.4730481337180032,-1.4730676748549998,0.43179369145558033,-0.5743498498172241,235834.84111615692,0.931730008557995,0.9652616269996415,0.9652673473453788,193469.33053616766,0.7643534778111438,0.24369405373350894,0.24363624543676765,0.5387219491384051,0.021276110656868765,17553.682894688416,0.6707815695933516,0.8190125576530262,0.8190595072679951,16485.555458091487,0.629965052470155
28,0.25094185655063334,0.1337484051727268,0.19773647453174997,-1.8212235561789947,-1.821245848472969,0.45652680338933865,-0.7215466502984035,269037.549270976,1.0629063835449342,1.0309735125331465,1.030979622301496,213747.05377704924,0.8444661666714705,0.21769944414140352,0.21763964894489984,0.535417808849686,-0.14284709996595815,18157.01166131225,0.6938366640418913,0.8329685852671104,0.8330163349065928,17143.5219281254,0.6551080258368833
29,0.2565337362828689,0.14585784693867043,0.21783141210669837,-1.5544733466456133,-1.5544935311753605,0.4271566548612147,-0.6656520881236178,243599.7130941171,0.9624072579425047,0.9810235766496668,0.9810293904040707,202121.20357109985,0.7985350673452772,0.245697958026454,0.24564030289827432,0.5394714050932277,0.06486485224956542,17507.1727479903,0.6690042702430471,0.8179268122778756,0.8179736996528619,16443.639213050843,0.6283633005866041
30,0.2502552733685672,0.13492665930711828,0.2177989611259774,-1.8878705544958168,-1.887893373410404,0.4219746423913495,-0.7268225920462541,275393.14099788887,1.0880158860513556,1.0430799998328775,1.043086181346846,215895.20076067597,0.8529530085560949,0.2558981678368283,0.2558412923623833,0.5400042954129819,-0.041288460595728785,17270.42828055011,0.6599575176946046,0.8123776939912891,0.8124242632649662,16452.200883230704,0.6286904689988423
31,0.25011210035216674,0.13600184399846718,0.19618788414873112,-1.7561457396041171,-1.7561675176765879,0.403623923143022,-0.6990723904970206,262831.5978691851,1.0383880760491677,1.0190132855116107,1.0190193244011108,209761.96456126834,0.828721982345054,0.21887472662653917,0.21881502126283248,0.517656269885373,0.06396836287010046,18129.73363162353,0.6927942845207509,0.8323426485052601,0.8323903622631316,16751.274655754667,0.6401190208167934
